run	library	sample	include	project	date
2021-08_ac-colin_test_miseq	CCA3345	CCA3345	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3409	CCA3409	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3492	CCA3492	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3550-rep1	CCA3550-rep1	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3550-rep2	CCA3550-rep2	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3711	CCA3711	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3719	CCA3719	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3730-rep1	CCA3730-rep1	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3730-rep2	CCA3730-rep2	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3778	CCA3778	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3788	CCA3788	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3821	CCA3821	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3826	CCA3826	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3841	CCA3841	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3845	CCA3845	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3849	CCA3849	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3862	CCA3862	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3872	CCA3872	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3877	CCA3877	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3887	CCA3887	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3910	CCA3910	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3926	CCA3926	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3929	CCA3929	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA3942	CCA3942	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4007	CCA4007	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4009	CCA4009	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4019	CCA4019	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4142	CCA4142	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4229	CCA4229	Y	AC_Phylo	4/08/2021
2021-08_ac-colin_test_miseq	CCA4659	CCA4659	Y	AC_Phylo	4/08/2021
